iter	Passed	Remaining
463	755	873
464	757	871
465	758	868
466	759	866
467	760	864
468	761	862
469	762	860
470	764	858
471	766	857
472	767	855
473	768	853
474	769	851
475	771	848
476	772	846
477	773	844
478	774	842
479	775	840
480	776	838
481	777	836
482	779	834
483	781	833
484	783	831
485	783	829
486	785	826
487	786	824
488	787	822
489	788	820
490	789	818
491	790	816
492	791	814
493	792	812
494	794	810
495	796	809
496	797	807
497	799	805
498	800	803
499	801	801
500	803	799
501	804	797
502	805	795
503	806	793
504	807	791
505	808	789
506	810	788
507	812	786
508	813	784
509	814	782
510	815	780
511	816	778
512	817	776
513	818	774
514	820	772
515	821	770
516	822	768
517	823	766
518	825	765
519	827	763
520	828	761
521	829	759
522	830	757
523	831	755
524	832	753
525	834	751
526	835	749
527	836	747
528	837	745
529	838	743
530	839	741
531	841	740
532	843	738
533	844	736
534	845	734
535	846	732
536	847	730
537	848	728
538	849	726
539	850	724
540	851	722
541	853	720
542	854	719
543	856	717
544	857	715
545	858	714
546	860	712
547	861	710
548	862	708
549	863	706
550	864	704
551	865	702
552	866	700
553	868	698
554	869	697
555	870	695
556	872	693
557	873	691
558	874	689
559	875	687
560	876	685
561	877	684
562	878	682
563	880	680
564	881	678
565	882	676
566	883	674
567	885	673
568	886	671
569	887	669
570	888	667
571	889	665
572	890	663
573	891	661
574	892	659
575	893	657
576	894	655
577	895	653
578	896	651
579	897	650
580	899	649
581	901	647
582	903	645
583	904	644
584	905	642
585	906	640
586	907	638
587	908	636
588	909	634
589	910	633
590	912	631
591	913	629
592	915	628
593	917	626
594	918	625
595	919	623
596	920	621
597	921	619
598	922	617
599	923	615
600	924	613
601	925	612
602	926	610
603	927	608
604	929	606
605	931	605
606	932	603
607	933	602
608	935	600
609	936	598
610	937	597
611	938	595
612	940	593
613	941	591
614	942	589
615	943	587
616	944	586
617	946	584
618	947	583
619	948	581
620	950	579
621	951	578
622	952	576
623	953	574
624	954	572
625	956	571
626	957	569
627	958	567
628	959	566
629	961	564
630	962	562
631	963	561
632	964	559
633	965	557
634	967	555
635	968	554
636	969	552
637	970	550
638	971	549
639	973	547
640	974	545
641	975	544
642	977	542
643	978	540
644	979	539
645	980	537
646	981	535
647	982	533
648	983	532
649	984	530
650	986	528
651	987	526
652	988	525
653	989	523
654	991	522
655	992	520
656	993	518
657	994	516
658	995	515
659	996	513
660	997	511
661	998	510
662	999	508
663	1001	506
664	1002	504
665	1003	503
666	1004	501
667	1006	500
668	1007	498
669	1008	496
670	1009	495
671	1011	493
672	1012	491
673	1013	490
674	1014	488
675	1015	486
676	1016	484
677	1017	483
678	1018	481
679	1020	480
680	1022	478
681	1023	477
682	1024	475
683	1025	473
684	1026	472
685	1027	470
686	1028	468
687	1030	467
688	1031	465
689	1033	464
690	1035	462
691	1036	461
692	1037	459
693	1039	458
694	1040	456
695	1041	454
696	1042	453
697	1043	451
698	1044	449
699	1046	448
700	1047	446
701	1048	445
702	1050	443
703	1052	442
704	1053	440
705	1054	439
706	1055	437
707	1056	435
708	1057	434
709	1058	432
710	1060	430
711	1061	429
712	1062	427
713	1064	426
714	1065	424
715	1067	423
716	1068	421
717	1069	420
718	1070	418
719	1071	416
720	1072	415
721	1073	413
722	1074	411
723	1076	410
724	1077	408
725	1078	407
726	1080	405
727	1081	404
728	1083	402
729	1084	400
730	1085	399
731	1086	397
732	1087	396
733	1088	394
734	1090	393
735	1091	391
736	1092	389
737	1093	388
738	1095	386
739	1097	385
740	1098	383
741	1099	382
742	1100	380
743	1102	379
744	1103	377
745	1105	376
746	1106	374
